TQ2#2 Bed#177061#31887#216.0
KA22#2 Bed#92750#949#12.0
KA1#2 Bed#75293#702#11.0
KT8#2 Bed#444800#4096#11.0
NE47#2 Bed#150921#1454#11.0
S3#2 Bed#85000#741#10.0
SR8#2 Bed#41360#375#10.0
TS28#2 Bed#46856#394#10.0
BT36#2 Bed#74975#594#9.0
CF34#2 Bed#87759#663#9.0
DL17#2 Bed#43482#350#9.0
DL4#2 Bed#51527#387#9.0
G23#2 Bed#82000#650#9.0
KA4#2 Bed#59995#494#9.0
KA6#2 Bed#76223#572#9.0
L33#2 Bed#64988#506#9.0
ML4#2 Bed#81499#624#9.0
NE2#2 Bed#158600#1229#9.0
PE25#2 Bed#122996#975#9.0
SP3#2 Bed#182142#1478#9.0
TS25#2 Bed#51259#401#9.0
BT5#2 Bed#79950#535#8.0
CH41#2 Bed#66620#482#8.0
CH65#2 Bed#83838#586#8.0
DD2#2 Bed#91972#641#8.0
FK3#2 Bed#73300#524#8.0
G53#2 Bed#101098#724#8.0
G69#2 Bed#105388#705#8.0
GU29#2 Bed#402181#2999#8.0
KA2#2 Bed#77165#524#8.0
KA5#2 Bed#67399#455#8.0
KW14#2 Bed#81778#594#8.0
L11#2 Bed#84450#582#8.0
L24#2 Bed#81743#547#8.0
LA17#2 Bed#163725#1127#8.0
LL57#2 Bed#102850#702#8.0
LL71#2 Bed#76950#576#8.0
LS9#2 Bed#78378#530#8.0
M18#2 Bed#87583#594#8.0
M21#2 Bed#160000#1083#8.0
N5#2 Bed#560000#3910#8.0
NR15#2 Bed#169923#1200#8.0
PA16#2 Bed#68892#507#8.0
PO20#2 Bed#209716#1416#8.0
PO36#2 Bed#107593#750#8.0
S1#2 Bed#150000#1082#8.0
S4#2 Bed#61415#444#8.0
TN36#2 Bed#146744#1025#8.0
TS1#2 Bed#52772#362#8.0
WA16#2 Bed#251333#1866#8.0
AB24#2 Bed#120000#717#7.0
B16#2 Bed#132500#803#7.0
B21#2 Bed#111050#676#7.0
BD3#2 Bed#70292#435#7.0
BD7#2 Bed#70146#425#7.0
BD8#2 Bed#66964#414#7.0
BT12#2 Bed#66617#399#7.0
BT25#2 Bed#73300#451#7.0
BT27#2 Bed#77975#477#7.0
CF40#2 Bed#78126#467#7.0
CF42#2 Bed#68419#404#7.0
CH42#2 Bed#72758#465#7.0
CT15#2 Bed#112314#711#7.0
CV1#2 Bed#146250#902#7.0
DD3#2 Bed#102500#617#7.0
DD4#2 Bed#106750#698#7.0
DH5#2 Bed#72247#436#7.0
DH9#2 Bed#63726#381#7.0
DL10#2 Bed#131467#784#7.0
DL9#2 Bed#92500#545#7.0
DN35#2 Bed#83437#489#7.0
DN4#2 Bed#81229#480#7.0
EH16#2 Bed#179999#1070#7.0
EH30#2 Bed#105000#680#7.0
EH32#2 Bed#114249#750#7.0
EH33#2 Bed#144421#923#7.0
EH48#2 Bed#111856#664#7.0
EX7#2 Bed#108098#693#7.0
FY1#2 Bed#81612#499#7.0
FY7#2 Bed#95721#561#7.0
G13#2 Bed#118590#692#7.0
G32#2 Bed#99548#644#7.0
G46#2 Bed#134988#806#7.0
G66#2 Bed#127727#849#7.0
G75#2 Bed#105311#650#7.0
HU9#2 Bed#74366#449#7.0
IV30#2 Bed#117000#699#7.0
KA10#2 Bed#112500#702#7.0
KA3#2 Bed#73249#451#7.0
KA7#2 Bed#130000#776#7.0
KY2#2 Bed#90028#559#7.0
KY6#2 Bed#78106#493#7.0
L10#2 Bed#88500#537#7.0
L14#2 Bed#89161#539#7.0
L15#2 Bed#82481#489#7.0
L19#2 Bed#98395#649#7.0
L20#2 Bed#68465#440#7.0
L32#2 Bed#80030#508#7.0
L4#2 Bed#66591#435#7.0
L8#2 Bed#80581#493#7.0
L9#2 Bed#81646#481#7.0
LE1#2 Bed#120000#743#7.0
LL47#2 Bed#82250#498#7.0
LN4#2 Bed#113662#699#7.0
LS11#2 Bed#83308#506#7.0
LS7#2 Bed#124000#813#7.0
M13#2 Bed#134950#796#7.0
M6#2 Bed#149088#908#7.0
ME3#2 Bed#189700#1200#7.0
MK40#2 Bed#228999#1524#7.0
ML2#2 Bed#77551#488#7.0
ML3#2 Bed#108238#648#7.0
ML6#2 Bed#85072#523#7.0
ML7#2 Bed#77249#475#7.0
ML9#2 Bed#78369#510#7.0
NE63#2 Bed#68730#404#7.0
NE64#2 Bed#65329#416#7.0
NE8#2 Bed#87121#519#7.0
NG32#2 Bed#103045#662#7.0
NP24#2 Bed#66219#394#7.0
NR29#2 Bed#110525#702#7.0
OL1#2 Bed#85339#533#7.0
PA5#2 Bed#101164#594#7.0
PR1#2 Bed#100434#608#7.0
S63#2 Bed#71432#420#7.0
S64#2 Bed#69019#414#7.0
SA1#2 Bed#107936#650#7.0
SK4#2 Bed#132500#792#7.0
SR1#2 Bed#80000#477#7.0
TS24#2 Bed#63786#410#7.0
TS26#2 Bed#63032#385#7.0
TS29#2 Bed#58650#362#7.0
TS4#2 Bed#88994#533#7.0
WF1#2 Bed#110300#660#7.0
WV9#2 Bed#98814#623#7.0
AB37#2 Bed#100000#550#6.0
B18#2 Bed#110371#610#6.0
B66#2 Bed#127275#676#6.0
B9#2 Bed#126723#650#6.0
BB11#2 Bed#68534#383#6.0
BB12#2 Bed#81159#435#6.0
BB2#2 Bed#86433#437#6.0
BB9#2 Bed#77832#411#6.0
BD21#2 Bed#81684#423#6.0
BD4#2 Bed#81421#459#6.0
BD5#2 Bed#76315#393#6.0
BL3#2 Bed#87419#486#6.0
