S63#3 Bed#115943#8309#85.0
KY12#3 Bed#158014#2525#19.0
EH7#3 Bed#281125#2831#12.0
EH20#3 Bed#100000#849#10.0
G13#3 Bed#176999#1499#10.0
BL4#3 Bed#123838#956#9.0
DN31#3 Bed#58528#445#9.0
G14#3 Bed#125000#997#9.0
GU28#3 Bed#455044#3683#9.0
L6#3 Bed#92622#758#9.0
PH3#3 Bed#180632#1400#9.0
BT37#3 Bed#72088#496#8.0
HU2#3 Bed#85000#611#8.0
HX1#3 Bed#107381#732#8.0
L27#3 Bed#95327#676#8.0
L7#3 Bed#133612#982#8.0
L8#3 Bed#124325#904#8.0
LS4#3 Bed#148139#1060#8.0
NG1#3 Bed#200000#1450#8.0
TA5#3 Bed#292172#2089#8.0
TS1#3 Bed#74269#497#8.0
AB38#3 Bed#204667#1335#7.0
AB55#3 Bed#143229#940#7.0
B16#3 Bed#193975#1212#7.0
BN6#3 Bed#501786#3266#7.0
CF42#3 Bed#87547#554#7.0
EH15#3 Bed#252143#1651#7.0
G77#3 Bed#215800#1274#7.0
L23#3 Bed#225948#1499#7.0
L3#3 Bed#247500#1609#7.0
LL19#3 Bed#160420#949#7.0
M11#3 Bed#141243#834#7.0
NE6#3 Bed#131961#770#7.0
NE8#3 Bed#125912#736#7.0
NG7#3 Bed#138830#924#7.0
S14#3 Bed#98317#581#7.0
S3#3 Bed#98750#610#7.0
SR1#3 Bed#84975#546#7.0
ST11#3 Bed#212309#1292#7.0
TS3#3 Bed#71019#453#7.0
WS6#3 Bed#227500#1426#7.0
AB16#3 Bed#145500#834#6.0
B18#3 Bed#229970#1200#6.0
B19#3 Bed#128057#726#6.0
B21#3 Bed#142498#735#6.0
B6#3 Bed#136645#700#6.0
BD5#3 Bed#89238#487#6.0
BN2#3 Bed#426423#2289#6.0
BS39#3 Bed#293256#1599#6.0
BT16#3 Bed#154505#776#6.0
BT71#3 Bed#122483#650#6.0
BT8#3 Bed#145000#726#6.0
CF10#3 Bed#216414#1224#6.0
CF24#3 Bed#194559#974#6.0
CF32#3 Bed#120264#641#6.0
CF40#3 Bed#95299#488#6.0
CF43#3 Bed#79688#409#6.0
CF47#3 Bed#111222#576#6.0
CF81#3 Bed#116582#668#6.0
CH41#3 Bed#106244#555#6.0
CH42#3 Bed#107208#557#6.0
CO8#3 Bed#364666#2002#6.0
CV1#3 Bed#190415#1105#6.0
CV2#3 Bed#191805#1008#6.0
DD4#3 Bed#139571#708#6.0
DH1#3 Bed#167009#844#6.0
DL15#3 Bed#107193#547#6.0
DN12#3 Bed#105824#544#6.0
DN32#3 Bed#79091#454#6.0
EH12#3 Bed#281850#1473#6.0
EH14#3 Bed#260000#1355#6.0
EH22#3 Bed#215093#1099#6.0
EH48#3 Bed#146227#760#6.0
EH51#3 Bed#129730#692#6.0
EH53#3 Bed#151750#849#6.0
FK2#3 Bed#131816#713#6.0
FY1#3 Bed#102616#573#6.0
G67#3 Bed#110808#569#6.0
HU3#3 Bed#103501#520#6.0
HU5#3 Bed#129658#666#6.0
IV11#3 Bed#140000#793#6.0
IV16#3 Bed#150000#802#6.0
IV32#3 Bed#164500#823#6.0
KA11#3 Bed#114352#663#6.0
KA23#3 Bed#209975#1200#6.0
KA26#3 Bed#108800#559#6.0
L11#3 Bed#108685#550#6.0
L13#3 Bed#111493#602#6.0
L20#3 Bed#97913#529#6.0
L30#3 Bed#109334#586#6.0
L33#3 Bed#122595#643#6.0
L4#3 Bed#89181#509#6.0
L9#3 Bed#108814#569#6.0
LL56#3 Bed#184989#1001#6.0
LL70#3 Bed#157500#800#6.0
LS10#3 Bed#155146#801#6.0
LS9#3 Bed#117382#619#6.0
M12#3 Bed#159667#859#6.0
M13#3 Bed#183660#1014#6.0
M14#3 Bed#193665#992#6.0
M18#3 Bed#133180#727#6.0
M38#3 Bed#115848#607#6.0
M6#3 Bed#185828#964#6.0
ML9#3 Bed#107861#568#6.0
NE28#3 Bed#123155#651#6.0
NE4#3 Bed#123402#682#6.0
NE9#3 Bed#147445#794#6.0
OL9#3 Bed#141534#713#6.0
PA13#3 Bed#144498#750#6.0
PO20#3 Bed#327188#1719#6.0
PO31#3 Bed#252285#1349#6.0
PR1#3 Bed#136999#754#6.0
PR8#3 Bed#210449#1099#6.0
RG4#3 Bed#401383#2220#6.0
RG9#3 Bed#608311#3500#6.0
S73#3 Bed#127902#663#6.0
SA41#3 Bed#165133#849#6.0
SN16#3 Bed#441064#2282#6.0
SR2#3 Bed#111775#591#6.0
SR8#3 Bed#82852#461#6.0
SS13#3 Bed#290234#1473#6.0
ST1#3 Bed#137545#707#6.0
TS29#3 Bed#94707#475#6.0
WN1#3 Bed#145019#749#6.0
AB11#3 Bed#212225#911#5.0
AB21#3 Bed#222812#989#5.0
AB24#3 Bed#234998#1149#5.0
AL8#3 Bed#423246#2077#5.0
B11#3 Bed#167060#704#5.0
B25#3 Bed#169726#791#5.0
B33#3 Bed#165917#791#5.0
B37#3 Bed#171140#758#5.0
B42#3 Bed#173476#730#5.0
B44#3 Bed#159778#689#5.0
B5#3 Bed#249975#1145#5.0
B50#3 Bed#219294#1012#5.0
B64#3 Bed#166314#708#5.0
B66#3 Bed#180883#825#5.0
B68#3 Bed#184106#780#5.0
B7#3 Bed#131667#650#5.0
B70#3 Bed#170215#718#5.0
B8#3 Bed#153508#646#5.0
B9#3 Bed#157636#701#5.0
BA16#3 Bed#236407#1025#5.0
BB9#3 Bed#126884#564#5.0
BD14#3 Bed#142635#702#5.0
BD2#3 Bed#126378#557#5.0
BD21#3 Bed#116716#515#5.0
BD3#3 Bed#98560#449#5.0
BD4#3 Bed#107030#485#5.0
BD6#3 Bed#128733#601#5.0
BD8#3 Bed#123943#546#5.0
BD9#3 Bed#149081#650#5.0
BH1#3 Bed#317681#1376#5.0
BH13#3 Bed#952500#4241#5.0
BL3#3 Bed#142302#659#5.0
BL5#3 Bed#188488#805#5.0
BN15#3 Bed#309750#1300#5.0
BN26#3 Bed#309192#1298#5.0
BN9#3 Bed#269598#1149#5.0
BS2#3 Bed#338333#1517#5.0
BS5#3 Bed#274013#1185#5.0
BT14#3 Bed#98975#494#5.0
BT17#3 Bed#120725#524#5.0
BT20#3 Bed#146511#650#5.0
BT23#3 Bed#140524#587#5.0
BT24#3 Bed#129843#557#5.0
BT28#3 Bed#120150#572#5.0
BT29#3 Bed#117483#550#5.0
BT5#3 Bed#152606#693#5.0
BT7#3 Bed#175000#776#5.0
CA28#3 Bed#128686#553#5.0
CF11#3 Bed#236520#1121#5.0
CF31#3 Bed#157126#688#5.0
CF33#3 Bed#146636#650#5.0
CF34#3 Bed#111238#483#5.0
CF37#3 Bed#127982#582#5.0
CF41#3 Bed#94285#462#5.0
CF45#3 Bed#102805#458#5.0
CH44#3 Bed#107034#532#5.0
CH65#3 Bed#144897#645#5.0
CH66#3 Bed#165959#706#5.0
CO2#3 Bed#281283#1227#5.0
CR6#3 Bed#457966#2243#5.0
CT9#3 Bed#281130#1208#5.0
CV21#3 Bed#224932#1015#5.0
CV3#3 Bed#235008#1003#5.0
CV4#3 Bed#258467#1226#5.0
CV6#3 Bed#175451#758#5.0
CW1#3 Bed#146940#670#5.0
CW7#3 Bed#156983#664#5.0
DD10#3 Bed#141516#650#5.0
DE24#3 Bed#153875#652#5.0
DG1#3 Bed#148856#676#5.0
DG10#3 Bed#164999#750#5.0
DH4#3 Bed#121584#521#5.0
DH7#3 Bed#109258#510#5.0
DH9#3 Bed#100363#461#5.0
DL1#3 Bed#117753#576#5.0
DL4#3 Bed#87495#408#5.0
DL5#3 Bed#132207#565#5.0
DN1#3 Bed#106488#444#5.0
DN16#3 Bed#125808#545#5.0
DN2#3 Bed#125060#559#5.0
DN3#3 Bed#142291#635#5.0
DN34#3 Bed#120553#527#5.0
DN35#3 Bed#107529#534#5.0
DN36#3 Bed#181988#783#5.0
DN4#3 Bed#136051#614#5.0
DN5#3 Bed#129646#568#5.0
DN6#3 Bed#123970#526#5.0
DT1#3 Bed#332426#1499#5.0
DY1#3 Bed#162091#678#5.0
DY4#3 Bed#142651#695#5.0
E6#3 Bed#408724#1759#5.0
EC4A#3 Bed#1475000#6500#5.0
EH11#3 Bed#246667#1200#5.0
EH16#3 Bed#286375#1270#5.0
EH17#3 Bed#224001#975#5.0
EH19#3 Bed#178200#802#5.0
EH23#3 Bed#179833#823#5.0
EH28#3 Bed#211667#1001#5.0
EH29#3 Bed#185990#776#5.0
EH54#3 Bed#174804#773#5.0
FK4#3 Bed#168000#750#5.0
FY2#3 Bed#136093#643#5.0
FY3#3 Bed#134057#607#5.0
FY5#3 Bed#156902#655#5.0
