GU11#4 Bed#484850#14354#35.0
SA15#4 Bed#237532#6067#30.0
GU14#4 Bed#496661#9211#22.0
L29#4 Bed#283333#2500#10.0
BN5#4 Bed#530866#4299#9.0
BT7#4 Bed#145000#1101#9.0
CV6#4 Bed#222245#1670#9.0
G41#4 Bed#358738#2752#9.0
NE6#4 Bed#132990#1013#9.0
CA1#4 Bed#200894#1491#8.0
G53#4 Bed#197000#1361#8.0
G83#4 Bed#247998#1694#8.0
L13#4 Bed#133290#899#8.0
L20#4 Bed#131255#932#8.0
L6#4 Bed#159191#1117#8.0
L7#4 Bed#166667#1218#8.0
LS9#4 Bed#98497#687#8.0
M13#4 Bed#222136#1611#8.0
M38#4 Bed#125000#884#8.0
TS1#4 Bed#92500#664#8.0
TS8#4 Bed#260130#1850#8.0
AB13#4 Bed#299000#1982#7.0
BS40#4 Bed#494114#2999#7.0
DD3#4 Bed#210636#1400#7.0
DD4#4 Bed#190000#1248#7.0
DN35#4 Bed#192227#1200#7.0
EH10#4 Bed#454500#2700#7.0
G13#4 Bed#243798#1582#7.0
KY16#4 Bed#380493#2340#7.0
L11#4 Bed#137250#815#7.0
LL12#4 Bed#341952#2002#7.0
NR7#4 Bed#403548#2448#7.0
RM7#4 Bed#427812#2626#7.0
SG11#4 Bed#914706#6002#7.0
SR5#4 Bed#103580#609#7.0
ST12#4 Bed#420588#2496#7.0
TN33#4 Bed#493315#2999#7.0
TS21#4 Bed#246786#1452#7.0
WV13#4 Bed#232438#1400#7.0
AB24#4 Bed#262500#1455#6.0
B44#4 Bed#200000#1049#6.0
B47#4 Bed#391533#1993#6.0
B8#4 Bed#193333#1001#6.0
BL3#4 Bed#218419#1138#6.0
BT9#4 Bed#174950#1001#6.0
CA2#4 Bed#201765#1144#6.0
CA28#4 Bed#249126#1300#6.0
CF37#4 Bed#163584#894#6.0
CM1#4 Bed#563192#3024#6.0
EH7#4 Bed#468333#2500#6.0
FK4#4 Bed#245995#1395#6.0
FY1#4 Bed#108559#593#6.0
G73#4 Bed#295000#1599#6.0
GL13#4 Bed#429929#2349#6.0
GU27#4 Bed#776600#3995#6.0
IP6#4 Bed#410999#2126#6.0
KA30#4 Bed#233333#1200#6.0
L25#4 Bed#381704#1950#6.0
L9#4 Bed#121827#676#6.0
LE2#4 Bed#360466#2026#6.0
LS11#4 Bed#115277#671#6.0
LS12#4 Bed#229992#1164#6.0
LS7#4 Bed#245556#1289#6.0
M11#4 Bed#185000#949#6.0
M27#4 Bed#298248#1699#6.0
M30#4 Bed#337056#1796#6.0
ME17#4 Bed#514707#2596#6.0
MK13#4 Bed#365259#1899#6.0
NE23#4 Bed#266526#1400#6.0
NE28#4 Bed#226629#1200#6.0
NE4#4 Bed#154204#812#6.0
NE8#4 Bed#198167#1098#6.0
NG7#4 Bed#228333#1200#6.0
RH13#4 Bed#615763#3322#6.0
S3#4 Bed#190000#990#6.0
S5#4 Bed#160883#823#6.0
SR3#4 Bed#258663#1300#6.0
TA1#4 Bed#320192#1651#6.0
TN15#4 Bed#656007#3316#6.0
TN19#4 Bed#564545#2999#6.0
TS27#4 Bed#278889#1499#6.0
TS7#4 Bed#311552#1599#6.0
TW14#4 Bed#439979#2373#6.0
WR1#4 Bed#223332#1248#6.0
AB10#4 Bed#345000#1559#5.0
AB32#4 Bed#314750#1538#5.0
AB41#4 Bed#280833#1207#5.0
B12#4 Bed#267500#1144#5.0
B18#4 Bed#201990#975#5.0
B33#4 Bed#249285#1148#5.0
B42#4 Bed#297500#1248#5.0
B64#4 Bed#230249#995#5.0
B69#4 Bed#186628#862#5.0
B77#4 Bed#314866#1337#5.0
BA20#4 Bed#393077#1798#5.0
BA8#4 Bed#483744#2201#5.0
BD3#4 Bed#118323#501#5.0
BD7#4 Bed#117713#541#5.0
BH12#4 Bed#367304#1600#5.0
BL4#4 Bed#150998#724#5.0
BR2#4 Bed#746391#3166#5.0
BS10#4 Bed#369316#1710#5.0
BS11#4 Bed#332499#1426#5.0
BS34#4 Bed#333500#1458#5.0
BT36#4 Bed#185950#897#5.0
CF24#4 Bed#256407#1205#5.0
CF5#4 Bed#410415#2002#5.0
CH44#4 Bed#147473#700#5.0
CH63#4 Bed#377118#1599#5.0
CH65#4 Bed#195702#867#5.0
CV2#4 Bed#260963#1278#5.0
CV35#4 Bed#556897#2549#5.0
CV37#4 Bed#506205#2199#5.0
CW2#4 Bed#303890#1495#5.0
DA10#4 Bed#418330#1775#5.0
DH2#4 Bed#217992#1001#5.0
DY9#4 Bed#428328#1798#5.0
EH11#4 Bed#362500#1798#5.0
EH12#4 Bed#473333#2201#5.0
EX4#4 Bed#393714#1951#5.0
FK10#4 Bed#219274#1001#5.0
FY5#4 Bed#250499#1099#5.0
G68#4 Bed#271673#1296#5.0
G69#4 Bed#265857#1200#5.0
GL1#4 Bed#281954#1243#5.0
GL11#4 Bed#398365#1950#5.0
GL7#4 Bed#584590#2505#5.0
GU26#4 Bed#703864#3198#5.0
HD3#4 Bed#322070#1350#5.0
HD6#4 Bed#286103#1300#5.0
HU10#4 Bed#377400#1651#5.0
HU14#4 Bed#358143#1525#5.0
HU15#4 Bed#346500#1499#5.0
HU5#4 Bed#186192#811#5.0
HX1#4 Bed#129167#550#5.0
IP27#4 Bed#266635#1235#5.0
IV2#4 Bed#275913#1250#5.0
KT14#4 Bed#597967#2551#5.0
KT16#4 Bed#630231#2655#5.0
KY7#4 Bed#209849#897#5.0
KY8#4 Bed#228934#1101#5.0
L12#4 Bed#295427#1248#5.0
L15#4 Bed#219790#930#5.0
L21#4 Bed#141174#600#5.0
L22#4 Bed#200490#897#5.0
L4#4 Bed#113485#531#5.0
L8#4 Bed#240000#1117#5.0
LA14#4 Bed#326833#1370#5.0
LE15#4 Bed#445782#1912#5.0
LS15#4 Bed#303418#1499#5.0
M14#4 Bed#273040#1340#5.0
M19#4 Bed#281885#1370#5.0
M6#4 Bed#230263#1052#5.0
M9#4 Bed#195825#823#5.0
MK45#4 Bed#467140#2002#5.0
MK6#4 Bed#300714#1309#5.0
ML3#4 Bed#288232#1400#5.0
NE21#4 Bed#274192#1274#5.0
NN1#4 Bed#314226#1332#5.0
NN13#4 Bed#409613#1764#5.0
NP44#4 Bed#319146#1499#5.0
NR21#4 Bed#397245#1751#5.0
OL11#4 Bed#301038#1400#5.0
PE2#4 Bed#300625#1292#5.0
