TQ1#5 Bed#639450#-18218#-34.0
NW1#5 Bed#4989716#-15527#-3.0
AB10#5 Bed#0#1524#0.0
AB11#5 Bed#0#2002#0.0
AB13#5 Bed#0#1751#0.0
AB23#5 Bed#325000#0#0.0
AB24#5 Bed#0#2124#0.0
AB30#5 Bed#297499#0#0.0
AB31#5 Bed#554582#0#0.0
AB34#5 Bed#502500#0#0.0
AB38#5 Bed#277500#0#0.0
AB42#5 Bed#117500#0#0.0
AB45#5 Bed#276999#0#0.0
AB52#5 Bed#372500#0#0.0
AB53#5 Bed#378000#0#0.0
AB54#5 Bed#328000#0#0.0
AB55#5 Bed#313750#0#0.0
AL4#5 Bed#930439#0#0.0
AL6#5 Bed#1224688#0#0.0
AL7#5 Bed#715000#0#0.0
AL8#5 Bed#675000#0#0.0
B10#5 Bed#0#849#0.0
B18#5 Bed#330000#0#0.0
B19#5 Bed#0#750#0.0
B21#5 Bed#309150#0#0.0
B23#5 Bed#187475#0#0.0
B27#5 Bed#356650#0#0.0
B28#5 Bed#483333#0#0.0
B31#5 Bed#428738#0#0.0
B32#5 Bed#0#1400#0.0
B33#5 Bed#353333#0#0.0
B34#5 Bed#272475#0#0.0
B36#5 Bed#405625#0#0.0
B37#5 Bed#379000#0#0.0
B38#5 Bed#399950#0#0.0
B43#5 Bed#420000#0#0.0
B45#5 Bed#906105#0#0.0
B46#5 Bed#672500#0#0.0
B47#5 Bed#479983#0#0.0
B48#5 Bed#995000#0#0.0
B5#5 Bed#0#1473#0.0
B50#5 Bed#561663#0#0.0
B60#5 Bed#580624#0#0.0
B61#5 Bed#602000#0#0.0
B62#5 Bed#351250#0#0.0
B65#5 Bed#325000#0#0.0
B67#5 Bed#450000#299#0.0
B68#5 Bed#547500#0#0.0
B69#5 Bed#268317#0#0.0
B70#5 Bed#301667#0#0.0
B71#5 Bed#306650#0#0.0
B76#5 Bed#452111#0#0.0
B77#5 Bed#407599#0#0.0
B78#5 Bed#497492#0#0.0
B8#5 Bed#257995#0#0.0
B80#5 Bed#583333#0#0.0
B90#5 Bed#503164#0#0.0
B91#5 Bed#935619#0#0.0
B94#5 Bed#1274286#0#0.0
B95#5 Bed#1185000#0#0.0
B98#5 Bed#325000#0#0.0
BA10#5 Bed#666667#0#0.0
BA13#5 Bed#593250#0#0.0
BA16#5 Bed#357475#0#0.0
BA20#5 Bed#548333#0#0.0
BA21#5 Bed#424437#0#0.0
BA3#5 Bed#628261#0#0.0
BA4#5 Bed#441999#0#0.0
BA5#5 Bed#537625#0#0.0
BA6#5 Bed#826658#0#0.0
BA8#5 Bed#440000#0#0.0
BA9#5 Bed#504000#0#0.0
BB1#5 Bed#300309#0#0.0
BB10#5 Bed#497500#160#0.0
BB11#5 Bed#284992#0#0.0
BB12#5 Bed#346990#0#0.0
BB18#5 Bed#372475#0#0.0
BB3#5 Bed#370000#0#0.0
BB5#5 Bed#415000#0#0.0
BB6#5 Bed#492375#0#0.0
BB8#5 Bed#386642#0#0.0
BB9#5 Bed#436633#0#0.0
BD10#5 Bed#397861#0#0.0
BD11#5 Bed#725000#0#0.0
BD12#5 Bed#265714#0#0.0
BD13#5 Bed#511154#0#0.0
BD14#5 Bed#273571#0#0.0
BD15#5 Bed#304983#0#0.0
BD17#5 Bed#452475#0#0.0
BD18#5 Bed#245707#0#0.0
BD19#5 Bed#426875#0#0.0
BD2#5 Bed#189277#0#0.0
BD20#5 Bed#401607#0#0.0
BD21#5 Bed#224143#0#0.0
BD22#5 Bed#451000#0#0.0
BD23#5 Bed#607129#0#0.0
BD24#5 Bed#460000#0#0.0
BD3#5 Bed#148750#0#0.0
BD4#5 Bed#311999#0#0.0
BD6#5 Bed#196667#0#0.0
BD8#5 Bed#254993#0#0.0
BH15#5 Bed#1014970#0#0.0
BH16#5 Bed#590583#0#0.0
BH17#5 Bed#450000#0#0.0
BH18#5 Bed#573000#0#0.0
BH19#5 Bed#675000#0#0.0
BH20#5 Bed#1040000#0#0.0
BH21#5 Bed#841869#0#0.0
BH22#5 Bed#666818#0#0.0
BH23#5 Bed#924062#0#0.0
BH31#5 Bed#425000#0#0.0
BH4#5 Bed#1195000#0#0.0
BH5#5 Bed#681667#0#0.0
BH7#5 Bed#520000#0#0.0
BL0#5 Bed#425789#0#0.0
BL2#5 Bed#647500#0#0.0
BL4#5 Bed#323749#0#0.0
BL6#5 Bed#725068#0#0.0
BL7#5 Bed#692307#0#0.0
BL8#5 Bed#444993#0#0.0
BN10#5 Bed#424333#0#0.0
BN12#5 Bed#641667#0#0.0
BN13#5 Bed#460999#0#0.0
BN14#5 Bed#608746#0#0.0
BN15#5 Bed#640500#0#0.0
BN17#5 Bed#538333#0#0.0
BN18#5 Bed#850000#0#0.0
BN20#5 Bed#524667#0#0.0
BN23#5 Bed#379992#0#0.0
BN24#5 Bed#509167#0#0.0
BN25#5 Bed#647494#0#0.0
BN26#5 Bed#511667#0#0.0
BN41#5 Bed#500000#0#0.0
BN42#5 Bed#900000#0#0.0
BN5#5 Bed#795000#0#0.0
BN6#5 Bed#746407#0#0.0
BN7#5 Bed#1164167#0#0.0
BN8#5 Bed#800808#0#0.0
BN9#5 Bed#407475#0#0.0
BR4#5 Bed#850667#0#0.0
BR5#5 Bed#718995#0#0.0
BR8#5 Bed#598846#0#0.0
BS1#5 Bed#0#2058#0.0
BS11#5 Bed#750000#0#0.0
BS13#5 Bed#357499#0#0.0
