AB10#2 Bed#218333#750#3 Bed#475000#1062#4 Bed#345000#1559#5 Bed#0#1524
AB11#2 Bed#0#826#3 Bed#212225#911#4 Bed#0#1686#5 Bed#0#2002
AB12#2 Bed#157499#714#3 Bed#228959#877#4 Bed#400998#1190#5 Bed#501300#2197
AB13#2 Bed0#0#3 Bed0#0#4 Bed#299000#1982#5 Bed#0#1751
AB14#2 Bed#140000#0#3 Bed#0#1200#4 Bed#0#1322#5 Bed#423000#2002
AB15#2 Bed#208332#767#3 Bed#325705#1343#4 Bed#436177#1614#5 Bed#526700#1779
AB16#2 Bed#120333#0#3 Bed#145500#834#4 Bed0#0#5 Bed0#0
AB21#2 Bed#176798#691#3 Bed#222812#989#4 Bed#323804#1057#5 Bed#440625#1391
AB22#2 Bed#155989#776#3 Bed#263000#849#4 Bed#341317#1350#5 Bed#475000#1300
AB23#2 Bed#150000#676#3 Bed#0#864#4 Bed#387500#1400#5 Bed#325000#0
AB24#2 Bed#120000#717#3 Bed#234998#1149#4 Bed#262500#1455#5 Bed#0#2124
AB25#2 Bed#175000#758#3 Bed#303331#1160#4 Bed0#0#5 Bed0#0
AB30#2 Bed#144667#0#3 Bed#218750#724#4 Bed#305416#0#5 Bed#297499#0
AB31#2 Bed#0#726#3 Bed#0#802#4 Bed#465531#1148#5 Bed#554582#0
AB32#2 Bed#0#750#3 Bed#265000#925#4 Bed#314750#1538#5 Bed#357500#1599
AB33#2 Bed#194995#641#3 Bed#201240#763#4 Bed#361356#1248#5 Bed#433333#1300
AB34#2 Bed#235000#0#3 Bed#0#750#4 Bed#270000#0#5 Bed#502500#0
AB37#2 Bed#100000#550#3 Bed#198750#0#4 Bed#173750#0#5 Bed0#0
AB38#2 Bed#100000#498#3 Bed#204667#1335#4 Bed#259214#0#5 Bed#277500#0
AB39#2 Bed#193500#724#3 Bed#254249#0#4 Bed#260817#899#5 Bed#410000#1374
AB41#2 Bed#150000#686#3 Bed#215300#724#4 Bed#280833#1207#5 Bed#385000#1200
AB42#2 Bed#135950#664#3 Bed#161333#594#4 Bed#251750#761#5 Bed#117500#0
AB45#2 Bed#80250#116000#3 Bed#161911#650#4 Bed#263178#152000#5 Bed#276999#225000
AB51#2 Bed#146052#723#3 Bed#209596#850#4 Bed#307472#1003#5 Bed#456875#1174
AB52#2 Bed#147500#0#3 Bed#275000#0#4 Bed#341333#834#5 Bed#372500#0
